# Steps, Time, visc, Nusselt bottom/top, av_T, vrms, surf_rms, surf_max, grav, etamax, etamin
2.700000000000000000e+01 2.524968030902091609e-06 2.046963098616430943e+05 1.007898463428130054e+00 1.000010411513945208e+00 4.999974136048404016e-01 2.734885711436877500e+03 2.442829683018244324e+01 3.379641893772995331e+01 3.550946159809547531e+00 1.993255279453748807e+00 1.999955809530082465e-05
2.800000000000000000e+01 2.593512398927999243e-06 2.112455708080163749e+05 1.008307370692310023e+00 1.000010738240894703e+00 4.999973439601860803e-01 2.785508617350027635e+03 2.461177276294053939e+01 3.405096802243522802e+01 3.703152682301692700e+00 1.993017335260204081e+00 1.999955794641799259e-05
2.900000000000000000e+01 2.660774316997889523e-06 2.178926193058776262e+05 1.008724004090758353e+00 1.000011061270360768e+00 4.999972774536925457e-01 2.836089591252226455e+03 2.479617214413175219e+01 3.430676674804832516e+01 3.858353560201633670e+00 1.992764256296256642e+00 1.999955780344574627e-05
3.000000000000000000e+01 2.726802272676088644e-06 2.246375516518628283e+05 1.009148358089491104e+00 1.000011380685113638e+00 4.999972140432303314e-01 2.886629964184817254e+03 2.498126540871691148e+01 3.456349776918320771e+01 4.016422312879439183e+00 1.992499207920425341e+00 1.999955766604640076e-05
3.100000000000000000e+01 2.791642063452533170e-06 2.314804847724997962e+05 1.009580427834058769e+00 1.000011696572405517e+00 4.999971536809467709e-01 2.937131550609049555e+03 2.516688210842487905e+01 3.482111032248351989e+01 4.177261826791289323e+00 1.992224607213096244e+00 1.999955753390856303e-05
3.200000000000000000e+01 2.855332724573903488e-06 2.384215545061028970e+05 1.010020180805744516e+00 1.000012009000779356e+00 4.999970963188725137e-01 2.987596483874753631e+03 2.535289423728987757e+01 3.507965656005971766e+01 4.340791365930734891e+00 1.991942338381272881e+00 1.999955740674388274e-05
3.300000000000000000e+01 2.917914727229085357e-06 2.454604352127528691e+05 1.010467629943156753e+00 1.000012318057495575e+00 4.999970418957933593e-01 3.038023684792806307e+03 2.553919273719117200e+01 3.533856452005459658e+01 4.506944301300054967e+00 1.991653925585809448e+00 1.999955728429296791e-05
3.400000000000000000e+01 2.979427082856078830e-06 2.525971908237816824e+05 1.010922786081128510e+00 1.000012623832688963e+00 4.999969903492805234e-01 3.088415018414014867e+03 2.572570330616407830e+01 3.559773495218056638e+01 4.675668191068124813e+00 1.991360703608040961e+00 1.999955716631760915e-05
3.500000000000000000e+01 3.039906775032083082e-06 2.598319734121337533e+05 1.011385639442715645e+00 1.000012926415157155e+00 4.999969416236900166e-01 3.138772978229650107e+03 2.591237106813264290e+01 3.585709513921996461e+01 4.846921712065062060e+00 1.991063794414840160e+00 1.999955705259179775e-05
3.600000000000000000e+01 3.099388896127386007e-06 2.671649520238045952e+05 1.011856186811113334e+00 1.000013225891868140e+00 4.999968956634630035e-01 3.189100140789415036e+03 2.609915335439228556e+01 3.611658874391259388e+01 5.020674050677782496e+00 1.990764080424509697e+00 1.999955694289530514e-05
